country,prevalencePer10K,Country Name,Country Code,Series Name,Series Code,2020 Country Population
Kyrgyzstan,83.2,Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6579900
Republic of the Congo,83.1,"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5518092
Ivory Coast,83.1,Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26378275
Tanzania,83.1,Tanzania,TZA,"Population, total",SP.POP.TOTL,59734213
Gabon,83,Gabon,GAB,"Population, total",SP.POP.TOTL,2225728
Uzbekistan,83,Uzbekistan,UZB,"Population, total",SP.POP.TOTL,34232050
Samoa,82.9,Samoa,WSM,"Population, total",SP.POP.TOTL,198410
Timor-Leste,82.9,Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1318442
Trinidad and Tobago,82.9,Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1399491
Namibia,82.9,Namibia,NAM,"Population, total",SP.POP.TOTL,2540916
Nigeria,82.9,Nigeria,NGA,"Population, total",SP.POP.TOTL,206139587
Bosnia and Herzegovina,82.8,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3280815
Madagascar,82.8,Madagascar,MDG,"Population, total",SP.POP.TOTL,27691019
Angola,82.8,Angola,AGO,"Population, total",SP.POP.TOTL,32866268
Bahamas,82.7,"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,393248
Turkmenistan,82.7,Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6031187
Mali,82.7,Mali,MLI,"Population, total",SP.POP.TOTL,20250834
Sao Tome and Principe,82.6,Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,219161
Maldives,82.6,Maldives,MDV,"Population, total",SP.POP.TOTL,540542
Solomon Islands,82.6,Solomon Islands,SLB,"Population, total",SP.POP.TOTL,686878
Cameroon,82.5,Cameroon,CMR,"Population, total",SP.POP.TOTL,26545864
DR Congo,82.5,"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89561404
Brazil,82.5,Brazil,BRA,"Population, total",SP.POP.TOTL,212559409
Gambia,82.4,"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2416664
Liberia,82.4,Liberia,LBR,"Population, total",SP.POP.TOTL,5057677
Chad,82.4,Chad,TCD,"Population, total",SP.POP.TOTL,16425859
Mongolia,82.3,Mongolia,MNG,"Population, total",SP.POP.TOTL,3278292
South Sudan,82.3,South Sudan,SSD,"Population, total",SP.POP.TOTL,11193729
Marshall Islands,82.2,Marshall Islands,MHL,"Population, total",SP.POP.TOTL,59194
Papua New Guinea,82.2,Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8947027
Mozambique,82.2,Mozambique,MOZ,"Population, total",SP.POP.TOTL,31255435
Central African Republic,82.1,Central African Republic,CAF,"Population, total",SP.POP.TOTL,4829764
Togo,82.1,Togo,TGO,"Population, total",SP.POP.TOTL,8278737
American Samoa,82,American Samoa,ASM,"Population, total",SP.POP.TOTL,55197
Slovakia,82,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827
Guinea,82,Guinea,GIN,"Population, total",SP.POP.TOTL,13132792
Ghana,82,Ghana,GHA,"Population, total",SP.POP.TOTL,31072945
Northern Mariana Islands,81.9,Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57557
Puerto Rico,81.9,Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3281538
Azerbaijan,81.9,Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Benin,81.9,Benin,BEN,"Population, total",SP.POP.TOTL,12123198
Chile,81.9,Chile,CHL,"Population, total",SP.POP.TOTL,19116209
Niger,81.9,Niger,NER,"Population, total",SP.POP.TOTL,24206636
Slovenia,81.8,Slovenia,SVN,"Population, total",SP.POP.TOTL,2102419
Philippines,81.8,Philippines,PHL,"Population, total",SP.POP.TOTL,109581085
Tonga,81.7,Tonga,TON,"Population, total",SP.POP.TOTL,105697
Czech Republic,81.7,Czech Republic,CZE,"Population, total",SP.POP.TOTL,10697858
Serbia,81.6,Serbia,SRB,"Population, total",SP.POP.TOTL,6899126
Senegal,81.6,Senegal,SEN,"Population, total",SP.POP.TOTL,16743930
Malaysia,81.6,Malaysia,MYS,"Population, total",SP.POP.TOTL,32365998
Vanuatu,81.5,Vanuatu,VUT,"Population, total",SP.POP.TOTL,307150
Djibouti,81.5,Djibouti,DJI,"Population, total",SP.POP.TOTL,988002
Argentina,81.4,Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Guinea-Bissau,81.3,Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1967998
Sierra Leone,81.3,Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7976985
Poland,81.2,Poland,POL,"Population, total",SP.POP.TOTL,37899070
Barbados,81.1,Barbados,BRB,"Population, total",SP.POP.TOTL,287371
Fiji,81.1,Fiji,FJI,"Population, total",SP.POP.TOTL,896444
Seychelles,80.9,Seychelles,SYC,"Population, total",SP.POP.TOTL,98462
United States,80.9,United States,USA,"Population, total",SP.POP.TOTL,331501080
Uruguay,80.8,Uruguay,URY,"Population, total",SP.POP.TOTL,3473727
Laos,80.8,Lao PDR,LAO,"Population, total",SP.POP.TOTL,7275556
